url,page_type,page_title,meta_description,canonical_url,robots_directive,h1,primary_topic,location_target,course_target,detected_ctas,internal_links_count,content_status,seo_priority,notes,discovery_source,fetch_attempted,http_status,final_url,redirect_chain,fetch_status,evidence_status,last_checked_at
"https://www.asdm.co.in/blog/fake-vs-real-digital-marketing-institutes-in-ahmedabad/","blog-article","Fake vs Real Digital Marketing Institutes in Ahmedabad","Learn how to distinguish between genuine and fake digital marketing institutes in Ahmedabad.","","","Fake vs Real Digital Marketing Institutes in Ahmedabad","Education Guidance","Ahmedabad","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",true,200,"https://www.asdm.co.in/blog/fake-vs-real-digital-marketing-institutes-in-ahmedabad/","","FETCHED","METADATA VERIFIED",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/best-areas-in-ahmedabad-to-learn-digital-marketing/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/offline-vs-online-digital-marketing-courses-in-ahmedabad/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/questions-to-ask-before-joining-a-digital-marketing-course-in-surat/","blog-article","Questions to Ask Before Joining a Digital Marketing Course in Surat","Guidelines for prospective students in Surat looking to select a training institute.","","","Questions to Ask Before Joining a Digital Marketing Course in Surat","Education Guidance","Surat","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",true,200,"https://www.asdm.co.in/blog/questions-to-ask-before-joining-a-digital-marketing-course-in-surat/","","FETCHED","METADATA VERIFIED",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/skill-development-courses-after-12th/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/digital-marketing-career-in-ahmedabad/","blog-article","Digital Marketing Career Scope in Ahmedabad","Explore job opportunities and career growth in digital marketing in Ahmedabad.","","","Digital Marketing Career Scope in Ahmedabad","Career Advice","Ahmedabad","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",true,200,"https://www.asdm.co.in/blog/digital-marketing-career-in-ahmedabad/","","FETCHED","METADATA VERIFIED",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/digital-marketing-jobs-in-ahmedabad/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/digital-marketing-salary-in-ahmedabad/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/category/digital-marketing/","blog-category","","","","","","","","","",,"NEEDS MANUAL REVIEW","LOW","WordPress blog category archive.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/how-to-get-your-first-digital-marketing-client-in-surat/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/category/affiliate-marketing/","blog-category","","","","","","","","","",,"NEEDS MANUAL REVIEW","LOW","WordPress blog category archive.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
