evidence_id,audit_file,record_identifier,source_url,evidence_type,extraction_date,extraction_method,verified_fields,unsupported_fields,confidence,notes
"ev-homepage","verified-core-pages.csv","https://www.asdm.co.in/","https://www.asdm.co.in/","Fetched page HTML source","2026-08-01","Axios fetch / HTML parse","url, page_type, page_title, meta_description, canonical_url, robots_directive, h1","exact placement statistics (claims 50,000+ vs placement page 7,000+)","MEDIUM","Served as main entrance. Basic metadata validated, student and placement statistics require owner verification."
"ev-about","verified-core-pages.csv","https://www.asdm.co.in/about-us","https://www.asdm.co.in/about-us","Fetched page HTML source","2026-08-01","Axios fetch / HTML parse","url, page_type, page_title, meta_description, canonical_url, robots_directive, h1","founding year vs founder experience timelines (contradictory)","MEDIUM","Contains critical spelling and grammar mistakes. History details require manual business confirmation."
"ev-surat","verified-core-pages.csv","https://www.asdm.co.in/digital-marketing-course-in-surat","https://www.asdm.co.in/digital-marketing-course-in-surat","Fetched page HTML source","2026-08-01","Axios fetch / HTML parse","url, page_type, page_title, meta_description, canonical_url, robots_directive, h1","offline campus physical address details (none listed in page content, checked footer)","HIGH","Surat localized landing page. Features a unique course strategy session CTA."
"ev-placement","verified-core-pages.csv","https://www.asdm.co.in/placement","https://www.asdm.co.in/placement","Fetched page HTML source","2026-08-01","Axios fetch / HTML parse","url, page_type, page_title, meta_description, h1, testimonial items","exact placement count (claims 7,000+ placements vs homepage 50,000+)","MEDIUM","Testimonials list actual company placements, but placement statistics clash with homepage."
"ev-contact","verified-core-pages.csv","https://www.asdm.co.in/contact-us","https://www.asdm.co.in/contact-us","Fetched page HTML source","2026-08-01","Axios fetch / HTML parse","url, page_type, page_title, meta_description, h1, address elements","Naroda physical location details (missing from form dropdown selections)","HIGH","Contains physical map links and locations directory."
"ev-faq","verified-core-pages.csv","https://www.asdm.co.in/faq","https://www.asdm.co.in/faq","Fetched page HTML source","2026-08-01","Axios fetch / HTML parse","url, page_type, page_title, meta_description, h1, FAQ markup list","none","HIGH","FAQ page containing general questions. Candidate for global FAQ layout merge."
"ev-seo","verified-core-pages.csv","https://www.asdm.co.in/seo-course-in-ahmedabad","https://www.asdm.co.in/seo-course-in-ahmedabad","Fetched page HTML source","2026-08-01","Axios fetch / HTML parse","url, page_type, page_title, meta_description, h1, curriculum list","exact student placement partners (claims 1000+ vs placement page 700)","MEDIUM","Course-specific page for SEO targeting Ahmedabad."
"ev-mumbai","verified-core-pages.csv","https://www.asdm.co.in/digital-marketing-course-in-mumbai","https://www.asdm.co.in/digital-marketing-course-in-mumbai","Fetched page HTML source","2026-08-01","Axios fetch / HTML parse","url, page_type, page_title, meta_description, h1","physical address details (none found, target is online)","MEDIUM","Targeting online audience in Mumbai but contains offline claims in copy. High risk."
"ev-ecommerce","verified-core-pages.csv","https://www.asdm.co.in/ecommerce-course","https://www.asdm.co.in/ecommerce-course","Fetched page HTML source","2026-08-01","Axios fetch / HTML parse","url, page_type, page_title, meta_description, h1, curriculum list","income outcomes (claims Earn 1,00,000+ freelancer)","HIGH","3-month e-commerce course landing page."
"ev-advace-program","verified-core-pages.csv","https://www.asdm.co.in/advace-digital-marketing-program","https://www.asdm.co.in/advace-digital-marketing-program","Fetched page HTML source","2026-08-01","Axios fetch / HTML parse","url, page_type, page_title, h1, content block","unique program syllabus (clones homepage exactly)","LOW","Cloned page on misspelled URL. Candidate for redirection."
"ev-professional-program","verified-core-pages.csv","https://www.asdm.co.in/professional-program-in-advance-digital-marketing","https://www.asdm.co.in/professional-program-in-advance-digital-marketing","Fetched page HTML source","2026-08-01","Axios fetch / HTML parse","url, page_type, page_title, h1, content block","unique program syllabus (clones homepage exactly)","LOW","Cloned page. Candidate for redirection."
"ev-blog-index","verified-core-pages.csv","https://www.asdm.co.in/blog/","https://www.asdm.co.in/blog/","Fetched page HTML source","2026-08-01","Axios fetch / HTML parse","url, page_type, page_title, h1","none","HIGH","WordPress index route. Serves blog articles feed."
