url,meta_title,meta_description,meta_title_length,meta_description_length,og_title,og_description,og_image
"https://www.asdm.co.in/","Digital Marketing Course in Ahmedabad with AI | ASDM Institute","Join ASDM’s practical Digital Marketing Course in Ahmedabad covering SEO, Google Ads, Social Media, AI tools and live projects. Explore curriculum, batches, fees and placement assistance.",62,187,"Digital Marketing Course in Ahmedabad with AI | ASDM Institute","Join ASDM’s practical Digital Marketing Course in Ahmedabad covering SEO, Google Ads, Social Media, AI tools and live projects. Explore curriculum, batches, fees and placement assistance.","https://www.asdm.co.in/images/Banner_01_First.jpg"
"https://www.asdm.co.in/about-us","About ASDM Institute (Ahmedabad School Of Digital Marketing)","Learn Digital Marketing In Ahmedabad, Vadodara, Surat. We are Providing 100% Job Placement After Completion the Program Also Learn Lead Generation Freelancing In Ahmedabad, Vadodara, surat",60,188,"About ASDM Institute (Ahmedabad School Of Digital Marketing)","Learn Digital Marketing In Ahmedabad, Vadodara, Surat. We are Providing 100% Job Placement After Completion the Program Also Learn Lead Generation Freelancing In Ahmedabad, Vadodara, surat","https://www.asdm.co.in/images/Banner_01_First.jpg"
"https://www.asdm.co.in/digital-marketing-course-in-surat","Digital Marketing Course in Surat with AI Training & 100% Placement | ASDM Surat","Join Digital Marketing Course in Surat with AI training, live projects, and 100% placement support. Book your free demo at ASDM Institute today limited seats available.",80,168,"Digital Marketing Course in Surat with AI Training & 100% Placement | ASDM Surat","Join Digital Marketing Course in Surat with AI training, live projects, and 100% placement support. Book your free demo at ASDM Institute today limited seats available.","https://www.asdm.co.in/images/Banner_01_First.jpg"
"https://www.asdm.co.in/placement","ASDM Provide 100% Placement In Ahmedabad | Vadodara | Surat","ASDM Provide 100% Placement In Ahmedabad | Vadodara | Surat",59,59,"ASDM Provide 100% Placement In Ahmedabad | Vadodara | Surat","ASDM Provide 100% Placement In Ahmedabad | Vadodara | Surat","https://www.asdm.co.in/images/Banner_01_First.jpg"
"https://www.asdm.co.in/contact-us","Get in Touch with ASDM Institute for any Inquiry","Contact ASDM Institute for course enquiries, demo sessions, fees details, placement support, and career guidance from industry experts.",48,135,"Get in Touch with ASDM Institute for any Inquiry","Contact ASDM Institute for course enquiries, demo sessions, fees details, placement support, and career guidance from industry experts.","https://www.asdm.co.in/images/Banner_01_First.jpg"
"https://www.asdm.co.in/faq","Frequently Asked Questions For Digital Marketing Course","Find answers to common questions about ASDM’s courses, placements, and eligibility.",55,83,"Frequently Asked Questions For Digital Marketing Course","Find answers to common questions about ASDM’s courses, placements, and eligibility.","https://www.asdm.co.in/images/Banner_01_First.jpg"
"https://www.asdm.co.in/seo-course-in-ahmedabad","Advanced SEO Course In Ahmedabad With Placement | ASDM","ASDM institute offers practical search engine optimization course in Ahmedabad, specially design to cover all aspects of SEO and strategies to get higher visibility.",54,165,"Advanced SEO Course In Ahmedabad With Placement | ASDM","ASDM institute offers practical search engine optimization course in Ahmedabad, specially design to cover all aspects of SEO and strategies to get higher visibility.","https://www.asdm.co.in/images/Banner_01_First.jpg"
"https://www.asdm.co.in/digital-marketing-course-in-mumbai","Digital Marketing Course In Mumbai Online With Placement | ASDM","ASDM Institute Offers India's Best Offline and Online Digital Marketing Course In Mumbai with 100% placements and Freelancing opportunities.",63,140,"Digital Marketing Course In Mumbai Online With Placement | ASDM","ASDM Institute Offers India's Best Offline and Online Digital Marketing Course In Mumbai with 100% placements and Freelancing opportunities.","https://www.asdm.co.in/images/Banner_01_First.jpg"
"https://www.asdm.co.in/ecommerce-course","E-Commerce Marketing Course | ASDM","Master the E-Commerce ecosystem with our comprehensive 3-month program covering Shopify, website development, payment gateways, and business strategy.",34,150,"E-Commerce Marketing Course | ASDM","Master the E-Commerce ecosystem with our comprehensive 3-month program covering Shopify, website development, payment gateways, and business strategy.","https://www.asdm.co.in/images/Banner_01_First.jpg"
"https://www.asdm.co.in/advace-digital-marketing-program","Digital Marketing Course in Ahmedabad with AI | ASDM Institute","Join ASDM’s practical Digital Marketing Course in Ahmedabad covering SEO, Google Ads, Social Media, AI tools and live projects. Explore curriculum, batches, fees and placement assistance.",62,187,"Digital Marketing Course in Ahmedabad with AI | ASDM Institute","Join ASDM’s practical Digital Marketing Course in Ahmedabad covering SEO, Google Ads, Social Media, AI tools and live projects. Explore curriculum, batches, fees and placement assistance.","https://www.asdm.co.in/images/Banner_01_First.jpg"
"https://www.asdm.co.in/professional-program-in-advance-digital-marketing","Digital Marketing Course in Ahmedabad with AI | ASDM Institute","Join ASDM’s practical Digital Marketing Course in Ahmedabad covering SEO, Google Ads, Social Media, AI tools and live projects. Explore curriculum, batches, fees and placement assistance.",62,187,"Digital Marketing Course in Ahmedabad with AI | ASDM Institute","Join ASDM’s practical Digital Marketing Course in Ahmedabad covering SEO, Google Ads, Social Media, AI tools and live projects. Explore curriculum, batches, fees and placement assistance.","https://www.asdm.co.in/images/Banner_01_First.jpg"
