url,page_type,page_title,meta_description,canonical_url,robots_directive,h1,primary_topic,location_target,course_target,detected_ctas,internal_links_count,content_status,seo_priority,notes,discovery_source,fetch_attempted,http_status,final_url,redirect_chain,fetch_status,evidence_status,last_checked_at
"https://www.asdm.co.in/","homepage","Digital Marketing Course in Ahmedabad with AI | ASDM Institute","Join ASDM’s practical Digital Marketing Course in Ahmedabad covering SEO, Google Ads, Social Media, AI tools and live projects. Explore curriculum, batches, fees and placement assistance.","https://www.asdm.co.in/","index, follow","ASDM Offers Award Wining Digital Marketing Course in Ahmedabad. With 100% job Opportunity in top agency.","Digital Marketing & AI","Ahmedabad","Digital Marketing","Inquiry Now; Call Now; Whatsapp; Apply Now; Download Brochure",8,"EXISTING","CRITICAL","Primary homepage serving as lead generation hub for Ahmedabad.","navigation",true,200,"https://www.asdm.co.in/","","FETCHED","PAGE VERIFIED",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/about-us","about","About ASDM Institute (Ahmedabad School Of Digital Marketing)","Learn Digital Marketing In Ahmedabad, Vadodara, Surat. We are Providing 100% Job Placement After Completion the Program Also Learn Lead Generation Freelancing In Ahmedabad, Vadodara, surat","https://www.asdm.co.in/about-us","index, follow","We have trained Students and we take immense pride in shaping them.","ASDM history and team","Ahmedabad; Vadodara; Surat","None","Brochure; Call; Whatsapp; Submit Now!",6,"REWRITE CANDIDATE","HIGH","About page. Contains spelling and grammatical issues.","navigation",true,200,"https://www.asdm.co.in/about-us","","FETCHED","PAGE VERIFIED",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/digital-marketing-course-in-surat","location","Digital Marketing Course in Surat with AI Training & 100% Placement | ASDM Surat","Join Digital Marketing Course in Surat with AI training, live projects, and 100% placement support. Book your free demo at ASDM Institute today limited seats available.","https://www.asdm.co.in/digital-marketing-course-in-surat","index, follow","Looking for the best Digital Marketing Course in Surat where you learn practical skills, work on real projects, and become job-ready?","Digital Marketing & AI","Surat","Digital Marketing","Book Free Career Strategy Session; Download Brochure; APPLY NOW",7,"EXISTING","CRITICAL","Local landing page for Surat campus.","navigation",true,200,"https://www.asdm.co.in/digital-marketing-course-in-surat","","FETCHED","PAGE VERIFIED",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/placement","placement","ASDM Provide 100% Placement In Ahmedabad | Vadodara | Surat","ASDM Provide 100% Placement In Ahmedabad | Vadodara | Surat","https://www.asdm.co.in/placement","index, follow","70% Top Digital Marketing agency's senior Digital Marketers belongs to ASDM.","Placements & Student Outcomes","Ahmedabad; Vadodara; Surat","None","Start Learning Now; Enquire Now; Call Now; Whatsapp",6,"REWRITE CANDIDATE","HIGH","Placement outcomes page. Includes grammatical errors.","navigation",true,200,"https://www.asdm.co.in/placement","","FETCHED","PAGE VERIFIED",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/contact-us","contact","Get in Touch with ASDM Institute for any Inquiry","Contact ASDM Institute for course enquiries, demo sessions, fees details, placement support, and career guidance from industry experts.","https://www.asdm.co.in/contact-us","index, follow","Get in Touch with ASDM Institute for any Inquiry","Contact information","Ahmedabad (HO); Naroda; Surat","None","Submit Now!; Find Location On Map",5,"EXISTING","MEDIUM","Contact info for all campuses.","navigation",true,200,"https://www.asdm.co.in/contact-us","","FETCHED","PAGE VERIFIED",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/fake-vs-real-digital-marketing-institutes-in-ahmedabad/","blog-article","Fake vs Real Digital Marketing Institutes in Ahmedabad","Learn how to distinguish between genuine and fake digital marketing institutes in Ahmedabad.","","","Fake vs Real Digital Marketing Institutes in Ahmedabad","Education Guidance","Ahmedabad","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",true,200,"https://www.asdm.co.in/blog/fake-vs-real-digital-marketing-institutes-in-ahmedabad/","","FETCHED","METADATA VERIFIED",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/best-areas-in-ahmedabad-to-learn-digital-marketing/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/offline-vs-online-digital-marketing-courses-in-ahmedabad/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/questions-to-ask-before-joining-a-digital-marketing-course-in-surat/","blog-article","Questions to Ask Before Joining a Digital Marketing Course in Surat","Guidelines for prospective students in Surat looking to select a training institute.","","","Questions to Ask Before Joining a Digital Marketing Course in Surat","Education Guidance","Surat","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",true,200,"https://www.asdm.co.in/blog/questions-to-ask-before-joining-a-digital-marketing-course-in-surat/","","FETCHED","METADATA VERIFIED",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/","blog-index","ASDM Digital Marketing Blogs -","Read the latest Digital Marketing blogs and updates from ASDM.","https://www.asdm.co.in/blog/","index, follow","ASDM Digital Marketing Blogs","Blog Feed","None","None","Read Blogs",40,"EXISTING","MEDIUM","Blog index. Managed via WordPress.","footer",true,200,"https://www.asdm.co.in/blog/","","FETCHED","PAGE VERIFIED",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/faq","faq","Frequently Asked Questions For Digital Marketing Course","Find answers to common questions about ASDM’s courses, placements, and eligibility.","https://www.asdm.co.in/faq","index, follow","Frequently Asked Questions For Digital Marketing Course","FAQs","Ahmedabad; Surat","None","Inquiry Now; Call Now; Whatsapp; Brochure",6,"MERGE CANDIDATE","MEDIUM","FAQ page containing general questions.","footer",true,200,"https://www.asdm.co.in/faq","","FETCHED","PAGE VERIFIED",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/skill-development-courses-after-12th/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/digital-marketing-career-in-ahmedabad/","blog-article","Digital Marketing Career Scope in Ahmedabad","Explore job opportunities and career growth in digital marketing in Ahmedabad.","","","Digital Marketing Career Scope in Ahmedabad","Career Advice","Ahmedabad","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",true,200,"https://www.asdm.co.in/blog/digital-marketing-career-in-ahmedabad/","","FETCHED","METADATA VERIFIED",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/digital-marketing-jobs-in-ahmedabad/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/digital-marketing-salary-in-ahmedabad/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/category/digital-marketing/","blog-category","","","","","","","","","",,"NEEDS MANUAL REVIEW","LOW","WordPress blog category archive.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/how-to-get-your-first-digital-marketing-client-in-surat/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/category/affiliate-marketing/","blog-category","","","","","","","","","",,"NEEDS MANUAL REVIEW","LOW","WordPress blog category archive.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/category/asdm-updates/","blog-category","","","","","","","","","",,"NEEDS MANUAL REVIEW","LOW","WordPress blog category archive.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/category/digital-marketng-career/","blog-category","","","","","","","","","",,"NEEDS MANUAL REVIEW","LOW","WordPress blog category archive.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/category/seo/","blog-category","","","","","","","","","",,"NEEDS MANUAL REVIEW","LOW","WordPress blog category archive.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/category/social-media/","blog-category","","","","","","","","","",,"NEEDS MANUAL REVIEW","LOW","WordPress blog category archive.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/category/youtube/","blog-category","","","","","","","","","",,"NEEDS MANUAL REVIEW","LOW","WordPress blog category archive.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
"https://www.asdm.co.in/blog/mba-vs-digital-marketing/","blog-article","","","","","","","","","",,"NEEDS MANUAL REVIEW","MEDIUM","WordPress blog post.","sitemap",false,,"","","NOT FETCHED","SITEMAP ONLY",2026-08-01T13:24:00+05:30
