asset_id,current_path,proposed_file_name,naming_reason,rename_status,approval_required
ASSET-ABOUT-001,"public/assets/about/745-x-550-Award-Image.jpg",about-745-x-550-award-image.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-ABOUT-002,"public/assets/about/745-x-550-Award-Image.webp",about-745-x-550-award-image.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-ALUMINI-003,"public/assets/alumini/The-wall-of-fame-1.jpg",alumini-the-wall-of-fame-1.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-ALUMINI-004,"public/assets/alumini/The-wall-of-fame-1.webp",alumini-the-wall-of-fame-1.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-ALUMINI-005,"public/assets/alumini/The-wall-of-fame-2.jpg",alumini-the-wall-of-fame-2.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-ALUMINI-006,"public/assets/alumini/The-wall-of-fame-2.webp",alumini-the-wall-of-fame-2.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-ALUMINI-007,"public/assets/alumini/The-wall-of-fame-3.jpg",alumini-the-wall-of-fame-3.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-ALUMINI-008,"public/assets/alumini/The-wall-of-fame-3.webp",alumini-the-wall-of-fame-3.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-ALUMINI-009,"public/assets/alumini/The-wall-of-fame-4.jpg",alumini-the-wall-of-fame-4.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-ALUMINI-010,"public/assets/alumini/The-wall-of-fame-4.webp",alumini-the-wall-of-fame-4.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-ALUMINI-011,"public/assets/alumini/The-wall-of-fame-5.jpg",alumini-the-wall-of-fame-5.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-ALUMINI-012,"public/assets/alumini/The-wall-of-fame-5.webp",alumini-the-wall-of-fame-5.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-ALUMINI-013,"public/assets/alumini/The-wall-of-fame-6.jpg",alumini-the-wall-of-fame-6.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-ALUMINI-014,"public/assets/alumini/The-wall-of-fame-6.webp",alumini-the-wall-of-fame-6.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-ALUMINI-015,"public/assets/alumini/The-wall-of-fame-7.jpg",alumini-the-wall-of-fame-7.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-ALUMINI-016,"public/assets/alumini/The-wall-of-fame-7.webp",alumini-the-wall-of-fame-7.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-ALUMINI-017,"public/assets/alumini/The-wall-of-fame-8.jpg",alumini-the-wall-of-fame-8.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-ALUMINI-018,"public/assets/alumini/The-wall-of-fame-8.webp",alumini-the-wall-of-fame-8.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-AWARDS-019,"public/assets/awards/745 x 448 1.jpg",awards-745-x-448-1.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-AWARDS-020,"public/assets/awards/745 x 448 1.webp",awards-745-x-448-1.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-AWARDS-021,"public/assets/awards/745-x-550-Award-Image-2.jpg",awards-745-x-550-award-image-2.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-AWARDS-022,"public/assets/awards/745-x-550-Award-Image-2.webp",awards-745-x-550-award-image-2.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-AWARDS-023,"public/assets/awards/Award-1 - Copy.png",awards-award-1---copy.png,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-AWARDS-024,"public/assets/awards/Award-1.png",awards-award-1.png,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-AWARDS-025,"public/assets/awards/Award-1.webp",awards-award-1.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-AWARDS-026,"public/assets/awards/Award-2 - Copy.png",awards-award-2---copy.png,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-AWARDS-027,"public/assets/awards/Award-2 - Copy.webp",awards-award-2---copy.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-AWARDS-028,"public/assets/awards/Award-2.png",awards-award-2.png,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-AWARDS-029,"public/assets/awards/Award-2.webp",awards-award-2.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-AWARDS-030,"public/assets/awards/Award-3 - Copy.png",awards-award-3---copy.png,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-AWARDS-031,"public/assets/awards/Award-3 - Copy.webp",awards-award-3---copy.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-AWARDS-032,"public/assets/awards/Award-3.png",awards-award-3.png,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-AWARDS-033,"public/assets/awards/Award-3.webp",awards-award-3.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-AWARDS-034,"public/assets/awards/Award-4 - Copy.png",awards-award-4---copy.png,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-AWARDS-035,"public/assets/awards/Award-4 - Copy.webp",awards-award-4---copy.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-AWARDS-036,"public/assets/awards/Award-4.png",awards-award-4.png,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-AWARDS-037,"public/assets/awards/Award-4.webp",awards-award-4.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-AWARDS-038,"public/assets/awards/Award-5 - Copy.png",awards-award-5---copy.png,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-AWARDS-039,"public/assets/awards/Award-5 - Copy.webp",awards-award-5---copy.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-AWARDS-040,"public/assets/awards/Award-5.png",awards-award-5.png,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-AWARDS-041,"public/assets/awards/Award-5.webp",awards-award-5.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-AWARDS-042,"public/assets/awards/Award-6 - Copy.png",awards-award-6---copy.png,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-AWARDS-043,"public/assets/awards/Award-6 - Copy.webp",awards-award-6---copy.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-AWARDS-044,"public/assets/awards/Award-6.png",awards-award-6.png,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-AWARDS-045,"public/assets/awards/Award-6.webp",awards-award-6.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-AWARDS-046,"public/assets/awards/ZEE24-745X448-PIXEL.jpg",awards-zee24-745x448-pixel.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-AWARDS-047,"public/assets/awards/ZEE24-745X448-PIXEL.webp",awards-zee24-745x448-pixel.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-048,"public/assets/campuses/Ecommerce-marketing-training.jpg",campuses-ecommerce-marketing-training.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-049,"public/assets/campuses/Ecommerce-marketing-training.webp",campuses-ecommerce-marketing-training.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-050,"public/assets/campuses/Ecommerce-training-1.jpg",campuses-ecommerce-training-1.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-051,"public/assets/campuses/Ecommerce-training-1.webp",campuses-ecommerce-training-1.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-052,"public/assets/campuses/Ecommerce-training-2.jpg",campuses-ecommerce-training-2.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-053,"public/assets/campuses/Ecommerce-training-2.webp",campuses-ecommerce-training-2.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-054,"public/assets/campuses/Ecommerce-training-3.jpg",campuses-ecommerce-training-3.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-055,"public/assets/campuses/Ecommerce-training-3.webp",campuses-ecommerce-training-3.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-056,"public/assets/campuses/Ecommerce-training-4.jpg",campuses-ecommerce-training-4.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-057,"public/assets/campuses/Ecommerce-training-4.webp",campuses-ecommerce-training-4.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-058,"public/assets/campuses/Ecommerce-training-5.jpg",campuses-ecommerce-training-5.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-059,"public/assets/campuses/Ecommerce-training-5.webp",campuses-ecommerce-training-5.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-060,"public/assets/campuses/Ecommerce-training-6.jpg",campuses-ecommerce-training-6.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-061,"public/assets/campuses/Guest-session-at-ASDM-1.jpg",campuses-guest-session-at-asdm-1.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-062,"public/assets/campuses/Guest-session-at-ASDM-1.webp",campuses-guest-session-at-asdm-1.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-063,"public/assets/campuses/Guest-session-at-ASDM-2.jpg",campuses-guest-session-at-asdm-2.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-064,"public/assets/campuses/Guest-session-at-ASDM-2.webp",campuses-guest-session-at-asdm-2.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-065,"public/assets/campuses/Guest-session-at-ASDM-3.jpg",campuses-guest-session-at-asdm-3.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-066,"public/assets/campuses/Guest-session-at-ASDM-3.webp",campuses-guest-session-at-asdm-3.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-067,"public/assets/campuses/Guest-session-at-ASDM-4.jpg",campuses-guest-session-at-asdm-4.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-068,"public/assets/campuses/Guest-session-at-ASDM-4.webp",campuses-guest-session-at-asdm-4.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-069,"public/assets/campuses/Guest-session-at-ASDM-5.jpg",campuses-guest-session-at-asdm-5.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-070,"public/assets/campuses/Guest-session-at-ASDM-5.webp",campuses-guest-session-at-asdm-5.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-071,"public/assets/campuses/Guest-session-at-ASDM-6.jpg",campuses-guest-session-at-asdm-6.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-072,"public/assets/campuses/Guest-session-at-ASDM-6.webp",campuses-guest-session-at-asdm-6.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-073,"public/assets/campuses/Guest-session-photos-1.jpg",campuses-guest-session-photos-1.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-074,"public/assets/campuses/Guest-session-photos-1.webp",campuses-guest-session-photos-1.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-075,"public/assets/campuses/Guest-session-photos-2.jpg",campuses-guest-session-photos-2.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-076,"public/assets/campuses/Guest-session-photos-2.webp",campuses-guest-session-photos-2.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-077,"public/assets/campuses/Guest-session-photos-3.jpg",campuses-guest-session-photos-3.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-078,"public/assets/campuses/Guest-session-photos-3.webp",campuses-guest-session-photos-3.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-079,"public/assets/campuses/Guest-session-photos-4.jpg",campuses-guest-session-photos-4.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-080,"public/assets/campuses/Guest-session-photos-4.webp",campuses-guest-session-photos-4.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-081,"public/assets/campuses/Guest-session-photos-5.jpg",campuses-guest-session-photos-5.jpg,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
ASSET-CAMPUSES-082,"public/assets/campuses/Guest-session-photos-5.webp",campuses-guest-session-photos-5.webp,Lowercase kebab-case naming standard mapping category to filename.,PLANNED,false
