website_area,section_name,preferred_asset_id,alternate_asset_ids,asset_status,suitability,reason,missing_requirement,approval_required,notes
"Homepage","Header/logo","ASSET-LOGOS-177","","CANDIDATE","HIGH","Recognized branding logotype.","","true","Main header logo."
"Homepage","Hero","UNKNOWN","","MISSING","NONE","No suitable high-res horizontal classroom image exists.","High-res candidate (classroom / trainer)","true","Hero requires new capture."
"Homepage","Trust/proof","ASSET-AWARDS-019","ASSET-AWARDS-020","CANDIDATE","HIGH","Skill India government badge.","","true","Accreditation badges row."
"Homepage","Programs","UNKNOWN","","MISSING","NONE","No structured program infographics or feature banners exist.","Program graphics","true","Provide modular course badges."
"Homepage","Why ASDM","UNKNOWN","","MISSING","NONE","Lacks clean support graphics.","Why ASDM illustration vectors","true","Support vectors."
"Homepage","Learning experience","UNKNOWN","","MISSING","NONE","Lacks candid classroom images.","Classroom capture images","true","Requires shoot."
"Homepage","Student work","UNKNOWN","","MISSING","NONE","Lacks high-res UI layouts.","Student website UI screenshot candidates","true","UI portfolio."
"Homepage","Placements","ASSET-LOGOS-178","","CANDIDATE","HIGH","Recruiter logo asset.","","true","Slider logos."
"Homepage","Ahmedabad campus","UNKNOWN","","MISSING","NONE","No campus interior files available.","Ahmedabad campus interior/exterior","true","Needs photos."
"Homepage","Surat campus","UNKNOWN","","MISSING","NONE","No Surat location photos.","Surat campus interior/exterior","true","Needs photos."
"Homepage","Trainers","UNKNOWN","","MISSING","NONE","No trainer headshots present in assets folder.","Faculty profiles / Headshots","true","Headshots required."
"Homepage","Testimonials","UNKNOWN","","MISSING","NONE","No testimonial face avatars exist.","Testimonial portrait avatars","true","Consent needed."
"Homepage","Awards","ASSET-AWARDS-020","","CANDIDATE","HIGH","Award logotype.","","true","Awards ribbon."
"Homepage","Final CTA","ASSET-LOGOS-177","","CANDIDATE","HIGH","Branding logo.","","true","CTA banner logo."
"Ahmedabad course page","Hero banner","UNKNOWN","","MISSING","NONE","No local hero banner.","Ahmedabad layout cover","true","Course hero."
"Surat course page","Hero banner","UNKNOWN","","MISSING","NONE","No local hero banner.","Surat layout cover","true","Course hero."
"Placement page","Recruiter grid","ASSET-PLACEMENTLOGO-191","","CANDIDATE","HIGH","Recruiter logo.","","true","Logo grid."
"About page","Timeline graphics","UNKNOWN","","MISSING","NONE","No timeline illustration.","Founded timeline elements","true","Chronology graphic."
