asset_id,current_path,file_name,extension,media_type,file_size_bytes,width,height,aspect_ratio,orientation,has_transparency,likely_category,likely_usage,quality_status,duplicate_group,approval_status,consent_required,original_quality_required,recommended_action,notes
ASSET-ABOUT-001,"public/assets/about/745-x-550-Award-Image.jpg","745-x-550-Award-Image.jpg",jpg,image,101718,745,550,1.35,LANDSCAPE,false,"Faculty/trainer","About team section grid","USABLE WITH OPTIMISATION",,"PENDING OWNER REVIEW",false,false,"MANUAL REVIEW","Imported asset candidate."
ASSET-ABOUT-002,"public/assets/about/745-x-550-Award-Image.webp","745-x-550-Award-Image.webp",webp,image,65314,745,550,1.35,LANDSCAPE,false,"Faculty/trainer","About team section grid","USABLE WITH OPTIMISATION",,"PENDING OWNER REVIEW",false,false,"MANUAL REVIEW","Imported asset candidate."
ASSET-ALUMINI-003,"public/assets/alumini/The-wall-of-fame-1.jpg","The-wall-of-fame-1.jpg",jpg,image,7686,253,320,0.79,PORTRAIT,false,"Placement","Alumni grid","LOW RESOLUTION",,"PENDING OWNER REVIEW",false,false,"MANUAL REVIEW","Imported asset candidate."
ASSET-ALUMINI-004,"public/assets/alumini/The-wall-of-fame-1.webp","The-wall-of-fame-1.webp",webp,image,10228,253,320,0.79,PORTRAIT,false,"Placement","Alumni grid","LOW RESOLUTION",,"PENDING OWNER REVIEW",false,false,"MANUAL REVIEW","Imported asset candidate."
ASSET-ALUMINI-005,"public/assets/alumini/The-wall-of-fame-2.jpg","The-wall-of-fame-2.jpg",jpg,image,7484,253,320,0.79,PORTRAIT,false,"Placement","Alumni grid","LOW RESOLUTION",,"PENDING OWNER REVIEW",false,false,"MANUAL REVIEW","Imported asset candidate."
ASSET-ALUMINI-006,"public/assets/alumini/The-wall-of-fame-2.webp","The-wall-of-fame-2.webp",webp,image,9572,253,320,0.79,PORTRAIT,false,"Placement","Alumni grid","LOW RESOLUTION",,"PENDING OWNER REVIEW",false,false,"MANUAL REVIEW","Imported asset candidate."
ASSET-ALUMINI-007,"public/assets/alumini/The-wall-of-fame-3.jpg","The-wall-of-fame-3.jpg",jpg,image,6951,253,320,0.79,PORTRAIT,false,"Placement","Alumni grid","LOW RESOLUTION",,"PENDING OWNER REVIEW",false,false,"MANUAL REVIEW","Imported asset candidate."
ASSET-ALUMINI-008,"public/assets/alumini/The-wall-of-fame-3.webp","The-wall-of-fame-3.webp",webp,image,8716,253,320,0.79,PORTRAIT,false,"Placement","Alumni grid","LOW RESOLUTION",,"PENDING OWNER REVIEW",false,false,"MANUAL REVIEW","Imported asset candidate."
ASSET-ALUMINI-009,"public/assets/alumini/The-wall-of-fame-4.jpg","The-wall-of-fame-4.jpg",jpg,image,8094,253,320,0.79,PORTRAIT,false,"Placement","Alumni grid","LOW RESOLUTION",,"PENDING OWNER REVIEW",false,false,"MANUAL REVIEW","Imported asset candidate."
ASSET-ALUMINI-010,"public/assets/alumini/The-wall-of-fame-4.webp","The-wall-of-fame-4.webp",webp,image,10940,253,320,0.79,PORTRAIT,false,"Placement","Alumni grid","LOW RESOLUTION",,"PENDING OWNER REVIEW",false,false,"MANUAL REVIEW","Imported asset candidate."
ASSET-ALUMINI-011,"public/assets/alumini/The-wall-of-fame-5.jpg","The-wall-of-fame-5.jpg",jpg,image,7603,253,320,0.79,PORTRAIT,false,"Placement","Alumni grid","LOW RESOLUTION",,"PENDING OWNER REVIEW",false,false,"MANUAL REVIEW","Imported asset candidate."
ASSET-ALUMINI-012,"public/assets/alumini/The-wall-of-fame-5.webp","The-wall-of-fame-5.webp",webp,image,9882,253,320,0.79,PORTRAIT,false,"Placement","Alumni grid","LOW RESOLUTION",,"PENDING OWNER REVIEW",false,false,"MANUAL REVIEW","Imported asset candidate."
ASSET-ALUMINI-013,"public/assets/alumini/The-wall-of-fame-6.jpg","The-wall-of-fame-6.jpg",jpg,image,8554,253,320,0.79,PORTRAIT,false,"Placement","Alumni grid","LOW RESOLUTION",,"PENDING OWNER REVIEW",false,false,"MANUAL REVIEW","Imported asset candidate."
ASSET-ALUMINI-014,"public/assets/alumini/The-wall-of-fame-6.webp","The-wall-of-fame-6.webp",webp,image,11490,253,320,0.79,PORTRAIT,false,"Placement","Alumni grid","LOW RESOLUTION",,"PENDING OWNER REVIEW",false,false,"MANUAL REVIEW","Imported asset candidate."
ASSET-ALUMINI-015,"public/assets/alumini/The-wall-of-fame-7.jpg","The-wall-of-fame-7.jpg",jpg,image,6708,253,320,0.79,PORTRAIT,false,"Placement","Alumni grid","LOW RESOLUTION",,"PENDING OWNER REVIEW",false,false,"MANUAL REVIEW","Imported asset candidate."
